"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","phosphoric ester hydrolase activity","GO:0042578","1","0","372","32","1","20212","ACP6"
"GO:MF","identical protein binding","GO:0042802","1","0","2162","32","6","20212","UBQLN1,ACOX1,ZCCHC17,GLTP,ADSL,HSP90AB1"
"GO:MF","protein homodimerization activity","GO:0042803","1","0","724","32","2","20212","ACOX1,HSP90AB1"
"GO:MF","histone deacetylase binding","GO:0042826","1","0","127","32","1","20212","HSP90AB1"
"GO:MF","ATP-dependent protein binding","GO:0043008","1","0","6","32","1","20212","HSP90AB1"
"GO:MF","ribonucleoprotein complex binding","GO:0043021","1","0","172","32","1","20212","ZNF593"
"GO:MF","ion binding","GO:0043167","1","0","6146","32","14","20212","RBM4,ACOX1,CDK11B,LPCAT1,FLT1,CHRND,CDK10,ZCCHC17,GLTP,EBF4,ANTXR1,ZNF593,HSP90AB1,CILK1"
"GO:MF","anion binding","GO:0043168","1","0","2452","32","7","20212","ACOX1,CDK11B,FLT1,CDK10,GLTP,HSP90AB1,CILK1"
"GO:MF","cation binding","GO:0043169","1","0","4444","32","8","20212","RBM4,LPCAT1,CHRND,ZCCHC17,EBF4,ANTXR1,ZNF593,CILK1"
"GO:MF","organic acid binding","GO:0043177","1","0","207","32","1","20212","ACOX1"
"GO:MF","sequence-specific DNA binding","GO:0043565","1","0","1654","32","4","20212","SOX12,BAHD1,EBF4,SOX15"
"GO:MF","protein folding chaperone","GO:0044183","1","0","60","32","1","20212","HSP90AB1"
"GO:MF","ubiquitin-like protein ligase binding","GO:0044389","1","0","326","32","1","20212","HSP90AB1"
"GO:MF","protein-containing complex binding","GO:0044877","1","0","1752","32","6","20212","TSPYL5,BAHD1,ANTXR1,SOX15,ZNF593,HSP90AB1"
"GO:MF","miRNA binding","GO:0035198","1","0","37","32","1","20212","RBM4"
"GO:MF","monocarboxylic acid binding","GO:0033293","1","0","80","32","1","20212","ACOX1"
"GO:MF","amide binding","GO:0033218","1","0","398","32","2","20212","GLTP,HSP90AB1"
"GO:MF","adenyl ribonucleotide binding","GO:0032559","1","0","1560","32","5","20212","CDK11B,FLT1,CDK10,HSP90AB1,CILK1"
"GO:MF","ligand-gated channel activity","GO:0022834","1","0","172","32","1","20212","CHRND"
"GO:MF","transmitter-gated channel activity","GO:0022835","1","0","61","32","1","20212","CHRND"
"GO:MF","gated channel activity","GO:0022836","1","0","315","32","1","20212","CHRND"
"GO:MF","acetylcholine-gated monoatomic cation-selective channel activity","GO:0022848","1","0","23","32","1","20212","CHRND"
"GO:MF","transmembrane transporter activity","GO:0022857","1","0","1127","32","1","20212","CHRND"
"GO:MF","MHC protein complex binding","GO:0023023","1","0","33","32","1","20212","HSP90AB1"
"GO:MF","MHC class II protein complex binding","GO:0023026","1","0","24","32","1","20212","HSP90AB1"
"GO:MF","PDZ domain binding","GO:0030165","1","0","85","32","1","20212","ACOX1"
"GO:MF","enzyme regulator activity","GO:0030234","1","0","1296","32","2","20212","SERPINB1,HSP90AB1"
"GO:MF","nitric-oxide synthase regulator activity","GO:0030235","1","0","7","32","1","20212","HSP90AB1"
"GO:MF","cadherin binding","GO:0045296","1","0","335","32","1","20212","HSP90AB1"
"GO:MF","cyclin binding","GO:0030332","1","0","34","32","1","20212","RBM4"
"GO:MF","adenyl nucleotide binding","GO:0030554","1","0","1661","32","5","20212","CDK11B,FLT1,CDK10,HSP90AB1,CILK1"
"GO:MF","neurotransmitter receptor activity","GO:0030594","1","0","100","32","1","20212","CHRND"
"GO:MF","protein-macromolecule adaptor activity","GO:0030674","1","0","947","32","2","20212","DTL,MTDH"
"GO:MF","TPR domain binding","GO:0030911","1","0","7","32","1","20212","HSP90AB1"
"GO:MF","heat shock protein binding","GO:0031072","1","0","130","32","1","20212","HSP90AB1"
"GO:MF","carboxylic acid binding","GO:0031406","1","0","195","32","1","20212","ACOX1"
"GO:MF","polyubiquitin modification-dependent protein binding","GO:0031593","1","0","58","32","1","20212","UBQLN1"
"GO:MF","ubiquitin protein ligase binding","GO:0031625","1","0","308","32","1","20212","HSP90AB1"
"GO:MF","ribonucleotide binding","GO:0032553","1","0","1936","32","5","20212","CDK11B,FLT1,CDK10,HSP90AB1,CILK1"
"GO:MF","purine ribonucleotide binding","GO:0032555","1","0","1919","32","5","20212","CDK11B,FLT1,CDK10,HSP90AB1,CILK1"
"GO:MF","peptidase inhibitor activity","GO:0030414","1","0","174","32","1","20212","SERPINB1"
"GO:MF","sphingolipid transporter activity","GO:0046624","1","0","16","32","1","20212","GLTP"
"GO:MF","sphingolipid binding","GO:0046625","1","0","27","32","1","20212","GLTP"
"GO:MF","metal ion binding","GO:0046872","1","0","4354","32","7","20212","RBM4,LPCAT1,ZCCHC17,EBF4,ANTXR1,ZNF593,CILK1"
"GO:MF","organic cyclic compound binding","GO:0097159","1","0","7546","32","16","20212","CACTIN,RBM4,ACOX1,CDK11B,FLT1,CDK10,ZCCHC17,SOX12,BAHD1,MEPCE,EBF4,SOX15,ZNF593,HSP90AB1,CILK1,MTDH"
"GO:MF","7SK snRNA binding","GO:0097322","1","0","9","32","1","20212","MEPCE"
"GO:MF","carbohydrate derivative binding","GO:0097367","1","0","2304","32","6","20212","CDK11B,FLT1,CDK10,GLTP,HSP90AB1,CILK1"
"GO:MF","disordered domain specific binding","GO:0097718","1","0","29","32","1","20212","HSP90AB1"
"GO:MF","molecular function regulator activity","GO:0098772","1","0","2063","32","2","20212","SERPINB1,HSP90AB1"
"GO:MF","postsynaptic neurotransmitter receptor activity","GO:0098960","1","0","72","32","1","20212","CHRND"
"GO:MF","ligand-gated monoatomic cation channel activity","GO:0099094","1","0","134","32","1","20212","CHRND"
"GO:MF","neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential","GO:0099529","1","0","57","32","1","20212","CHRND"
"GO:MF","protein serine kinase activity","GO:0106310","1","0","359","32","3","20212","CDK11B,CDK10,CILK1"
"GO:MF","lipid transfer activity","GO:0120013","1","0","54","32","1","20212","GLTP"
"GO:MF","phospholipid transfer activity","GO:0120014","1","0","25","32","1","20212","GLTP"
"GO:MF","ceramide transfer activity","GO:0120017","1","0","7","32","1","20212","GLTP"
"GO:MF","modification-dependent protein binding","GO:0140030","1","0","185","32","1","20212","UBQLN1"
"GO:MF","catalytic activity, acting on a protein","GO:0140096","1","0","2355","32","5","20212","CDK11B,FLT1,CDK10,DTL,CILK1"
"GO:MF","catalytic activity, acting on RNA","GO:0140098","1","0","399","32","2","20212","MEPCE,TRMO"
"GO:MF","catalytic activity, acting on a tRNA","GO:0140101","1","0","134","32","1","20212","TRMO"
"GO:MF","transcription regulator activity","GO:0140110","1","0","1952","32","4","20212","SOX12,EBF4,SOX15,MTDH"
"GO:MF","DNA-binding transcription factor binding","GO:0140297","1","0","490","32","2","20212","EBF4,MTDH"
"GO:MF","catalytic activity, acting on a nucleic acid","GO:0140640","1","0","623","32","2","20212","MEPCE,TRMO"
"GO:MF","ATP-dependent activity","GO:0140657","1","0","580","32","1","20212","HSP90AB1"
"GO:MF","ATP-dependent protein folding chaperone","GO:0140662","1","0","31","32","1","20212","HSP90AB1"
"GO:MF","sphingolipid transfer activity","GO:0120016","1","0","8","32","1","20212","GLTP"
"GO:MF","transmitter-gated monoatomic ion channel activity","GO:0022824","1","0","61","32","1","20212","CHRND"
"GO:MF","pre-mRNA intronic binding","GO:0097157","1","0","13","32","1","20212","RBM4"
"GO:MF","FAD binding","GO:0071949","1","0","40","32","1","20212","ACOX1"
"GO:MF","transition metal ion binding","GO:0046914","1","0","1124","32","3","20212","RBM4,ZCCHC17,ZNF593"
"GO:MF","protein dimerization activity","GO:0046983","1","0","1113","32","2","20212","ACOX1,HSP90AB1"
"GO:MF","2-acylglycerol-3-phosphate O-acyltransferase activity","GO:0047144","1","0","9","32","1","20212","LPCAT1"
"GO:MF","1-acylglycerophosphocholine O-acyltransferase activity","GO:0047184","1","0","8","32","1","20212","LPCAT1"
"GO:MF","1-alkylglycerophosphocholine O-acetyltransferase activity","GO:0047192","1","0","3","32","1","20212","LPCAT1"
"GO:MF","tau protein binding","GO:0048156","1","0","43","32","1","20212","HSP90AB1"
"GO:MF","flavin adenine dinucleotide binding","GO:0050660","1","0","90","32","1","20212","ACOX1"
"GO:MF","cell adhesion molecule binding","GO:0050839","1","0","561","32","1","20212","HSP90AB1"
"GO:MF","ceramide binding","GO:0097001","1","0","18","32","1","20212","GLTP"
"GO:MF","actin filament binding","GO:0051015","1","0","208","32","1","20212","ANTXR1"
"GO:MF","unfolded protein binding","GO:0051082","1","0","113","32","1","20212","HSP90AB1"
"GO:MF","glycolipid binding","GO:0051861","1","0","29","32","1","20212","GLTP"
"GO:MF","lysophosphatidic acid phosphatase activity","GO:0052642","1","0","4","32","1","20212","ACP6"
"GO:MF","molecular transducer activity","GO:0060089","1","0","1491","32","4","20212","FLT1,CHRND,B9D1,ANTXR1"
"GO:MF","molecular adaptor activity","GO:0060090","1","0","1136","32","2","20212","DTL,MTDH"
"GO:MF","peptidase regulator activity","GO:0061134","1","0","227","32","1","20212","SERPINB1"
"GO:MF","endopeptidase regulator activity","GO:0061135","1","0","184","32","1","20212","SERPINB1"
"GO:MF","RNA polymerase II-specific DNA-binding transcription factor binding","GO:0061629","1","0","349","32","1","20212","MTDH"
"GO:MF","regulatory RNA binding","GO:0061980","1","0","49","32","1","20212","RBM4"
"GO:MF","DNA polymerase binding","GO:0070182","1","0","21","32","1","20212","HSP90AB1"
"GO:MF","NF-kappaB binding","GO:0051059","1","0","30","32","1","20212","MTDH"
"GO:MF","passive transmembrane transporter activity","GO:0022803","1","0","508","32","1","20212","CHRND"
"GO:MF","protein domain specific binding","GO:0019904","1","0","653","32","2","20212","ACOX1,HSP90AB1"
"GO:MF","protein kinase binding","GO:0019901","1","0","706","32","1","20212","HSP90AB1"
"GO:MF","protein serine/threonine kinase activity","GO:0004674","1","0","434","32","3","20212","CDK11B,CDK10,CILK1"
"GO:MF","protein tyrosine kinase activity","GO:0004713","1","0","148","32","1","20212","FLT1"
"GO:MF","transmembrane receptor protein tyrosine kinase activity","GO:0004714","1","0","63","32","1","20212","FLT1"
"GO:MF","ubiquitin-protein transferase activity","GO:0004842","1","0","453","32","1","20212","DTL"
"GO:MF","enzyme inhibitor activity","GO:0004857","1","0","390","32","1","20212","SERPINB1"
"GO:MF","endopeptidase inhibitor activity","GO:0004866","1","0","168","32","1","20212","SERPINB1"
"GO:MF","serine-type endopeptidase inhibitor activity","GO:0004867","1","0","103","32","1","20212","SERPINB1"
"GO:MF","transmembrane signaling receptor activity","GO:0004888","1","0","1269","32","4","20212","FLT1,CHRND,B9D1,ANTXR1"
"GO:MF","vascular endothelial growth factor receptor activity","GO:0005021","1","0","7","32","1","20212","FLT1"
"GO:MF","structural molecule activity","GO:0005198","1","0","1100","32","1","20212","COPB1"
"GO:MF","protein kinase activity","GO:0004672","1","0","586","32","4","20212","CDK11B,FLT1,CDK10,CILK1"
"GO:MF","transporter activity","GO:0005215","1","0","1239","32","2","20212","CHRND,GLTP"
"GO:MF","extracellular ligand-gated monoatomic ion channel activity","GO:0005230","1","0","74","32","1","20212","CHRND"
"GO:MF","excitatory extracellular ligand-gated monoatomic ion channel activity","GO:0005231","1","0","37","32","1","20212","CHRND"
"GO:MF","monoatomic cation channel activity","GO:0005261","1","0","336","32","1","20212","CHRND"
"GO:MF","lipid transporter activity","GO:0005319","1","0","175","32","1","20212","GLTP"
"GO:MF","fatty acid binding","GO:0005504","1","0","48","32","1","20212","ACOX1"
"GO:MF","calcium ion binding","GO:0005509","1","0","726","32","1","20212","LPCAT1"
"GO:MF","collagen binding","GO:0005518","1","0","69","32","1","20212","ANTXR1"
"GO:MF","ATP binding","GO:0005524","1","0","1500","32","5","20212","CDK11B,FLT1,CDK10,HSP90AB1,CILK1"
"GO:MF","monoatomic ion channel activity","GO:0005216","1","0","444","32","1","20212","CHRND"
"GO:MF","phospholipid binding","GO:0005543","1","0","483","32","1","20212","GLTP"
"GO:MF","acyl-CoA oxidase activity","GO:0003997","1","0","7","32","1","20212","ACOX1"
"GO:MF","catalytic activity","GO:0003824","1","0","5758","32","13","20212","ACP6,AGPAT3,ACOX1,CDK11B,LPCAT1,FLT1,CDK10,MEPCE,DTL,ADSL,HSP90AB1,TRMO,CILK1"
"GO:MF","magnesium ion binding","GO:0000287","1","0","229","32","1","20212","CILK1"
"GO:MF","transcription cis-regulatory region binding","GO:0000976","1","0","1480","32","4","20212","SOX12,BAHD1,EBF4,SOX15"
"GO:MF","RNA polymerase II transcription regulatory region sequence-specific DNA binding","GO:0000977","1","0","1383","32","3","20212","SOX12,EBF4,SOX15"
"GO:MF","RNA polymerase II cis-regulatory region sequence-specific DNA binding","GO:0000978","1","0","1180","32","3","20212","SOX12,EBF4,SOX15"
"GO:MF","DNA-binding transcription factor activity, RNA polymerase II-specific","GO:0000981","1","0","1351","32","3","20212","SOX12,EBF4,SOX15"
"GO:MF","cis-regulatory region sequence-specific DNA binding","GO:0000987","1","0","1203","32","3","20212","SOX12,EBF4,SOX15"
"GO:MF","transcription regulatory region nucleic acid binding","GO:0001067","1","0","1482","32","4","20212","SOX12,BAHD1,EBF4,SOX15"
"GO:MF","DNA-binding transcription activator activity","GO:0001216","1","0","479","32","1","20212","SOX12"
"GO:MF","DNA-binding transcription activator activity, RNA polymerase II-specific","GO:0001228","1","0","473","32","1","20212","SOX12"
"GO:MF","acid phosphatase activity","GO:0003993","1","0","9","32","1","20212","ACP6"
"GO:MF","nucleic acid binding","GO:0003676","1","0","5491","32","12","20212","CACTIN,RBM4,CDK11B,ZCCHC17,SOX12,BAHD1,MEPCE,EBF4,SOX15,ZNF593,HSP90AB1,MTDH"
"GO:MF","chromatin binding","GO:0003682","1","0","602","32","3","20212","TSPYL5,BAHD1,SOX15"
"GO:MF","double-stranded DNA binding","GO:0003690","1","0","1637","32","4","20212","SOX12,BAHD1,EBF4,SOX15"
"GO:MF","DNA-binding transcription factor activity","GO:0003700","1","0","1439","32","3","20212","SOX12,EBF4,SOX15"
"GO:MF","transcription coregulator activity","GO:0003712","1","0","524","32","1","20212","MTDH"
"GO:MF","transcription coactivator activity","GO:0003713","1","0","290","32","1","20212","MTDH"
"GO:MF","RNA binding","GO:0003723","1","0","3123","32","7","20212","CACTIN,RBM4,CDK11B,ZCCHC17,MEPCE,HSP90AB1,MTDH"
"GO:MF","double-stranded RNA binding","GO:0003725","1","0","73","32","2","20212","HSP90AB1,MTDH"
"GO:MF","mRNA binding","GO:0003729","1","0","369","32","1","20212","RBM4"
"GO:MF","mRNA 3'-UTR binding","GO:0003730","1","0","111","32","1","20212","RBM4"
"GO:MF","actin binding","GO:0003779","1","0","443","32","1","20212","ANTXR1"
"GO:MF","DNA binding","GO:0003677","1","0","2532","32","5","20212","SOX12,BAHD1,EBF4,SOX15,ZNF593"
"GO:MF","molecular function inhibitor activity","GO:0140678","1","0","497","32","1","20212","SERPINB1"
"GO:MF","phospholipid transporter activity","GO:0005548","1","0","65","32","1","20212","GLTP"
"GO:MF","transcription factor binding","GO:0008134","1","0","600","32","2","20212","EBF4,MTDH"
"GO:MF","transferase activity, transferring phosphorus-containing groups","GO:0016772","1","0","959","32","4","20212","CDK11B,FLT1,CDK10,CILK1"
"GO:MF","phosphotransferase activity, alcohol group as acceptor","GO:0016773","1","0","697","32","4","20212","CDK11B,FLT1,CDK10,CILK1"
"GO:MF","hydrolase activity","GO:0016787","1","0","2478","32","2","20212","ACP6,HSP90AB1"
"GO:MF","hydrolase activity, acting on ester bonds","GO:0016788","1","0","768","32","1","20212","ACP6"
"GO:MF","phosphatase activity","GO:0016791","1","0","281","32","1","20212","ACP6"
"GO:MF","hydrolase activity, acting on acid anhydrides","GO:0016817","1","0","795","32","1","20212","HSP90AB1"
"GO:MF","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","GO:0016818","1","0","795","32","1","20212","HSP90AB1"
"GO:MF","lyase activity","GO:0016829","1","0","202","32","1","20212","ADSL"
"GO:MF","carbon-nitrogen lyase activity","GO:0016840","1","0","15","32","1","20212","ADSL"
"GO:MF","amidine-lyase activity","GO:0016842","1","0","9","32","1","20212","ADSL"
"GO:MF","aminoacyltransferase activity","GO:0016755","1","0","501","32","1","20212","DTL"
"GO:MF","ATP hydrolysis activity","GO:0016887","1","0","404","32","1","20212","HSP90AB1"
"GO:MF","purine nucleotide binding","GO:0017076","1","0","2021","32","5","20212","CDK11B,FLT1,CDK10,HSP90AB1,CILK1"
"GO:MF","glycolipid transfer activity","GO:0017089","1","0","3","32","1","20212","GLTP"
"GO:MF","ribonucleoside triphosphate phosphatase activity","GO:0017111","1","0","734","32","1","20212","HSP90AB1"
"GO:MF","transmembrane receptor protein kinase activity","GO:0019199","1","0","82","32","1","20212","FLT1"
"GO:MF","kinase regulator activity","GO:0019207","1","0","266","32","1","20212","HSP90AB1"
"GO:MF","ubiquitin-like protein transferase activity","GO:0019787","1","0","484","32","1","20212","DTL"
"GO:MF","growth factor binding","GO:0019838","1","0","134","32","1","20212","FLT1"
"GO:MF","protein kinase regulator activity","GO:0019887","1","0","227","32","1","20212","HSP90AB1"
"GO:MF","enzyme binding","GO:0019899","1","0","2103","32","2","20212","UBQLN1,HSP90AB1"
"GO:MF","kinase binding","GO:0019900","1","0","790","32","2","20212","UBQLN1,HSP90AB1"
"GO:MF","snRNA binding","GO:0017069","1","0","1224","32","1","20212","MEPCE"
"GO:MF","cytoskeletal protein binding","GO:0008092","1","0","1002","32","2","20212","ANTXR1,HSP90AB1"
"GO:MF","acyltransferase activity, transferring groups other than amino-acyl groups","GO:0016747","1","0","225","32","2","20212","AGPAT3,LPCAT1"
"GO:MF","transferase activity, transferring one-carbon groups","GO:0016741","1","0","238","32","2","20212","MEPCE,TRMO"
"GO:MF","hedgehog receptor activity","GO:0008158","1","0","3","32","1","20212","B9D1"
"GO:MF","methyltransferase activity","GO:0008168","1","0","228","32","2","20212","MEPCE,TRMO"
"GO:MF","O-methyltransferase activity","GO:0008171","1","0","28","32","1","20212","MEPCE"
"GO:MF","RNA methyltransferase activity","GO:0008173","1","0","63","32","2","20212","MEPCE,TRMO"
"GO:MF","tRNA methyltransferase activity","GO:0008175","1","0","28","32","1","20212","TRMO"
"GO:MF","zinc ion binding","GO:0008270","1","0","847","32","3","20212","RBM4,ZCCHC17,ZNF593"
"GO:MF","lipid binding","GO:0008289","1","0","841","32","2","20212","ACOX1,GLTP"
"GO:MF","monoatomic cation transmembrane transporter activity","GO:0008324","1","0","608","32","1","20212","CHRND"
"GO:MF","O-acyltransferase activity","GO:0008374","1","0","55","32","2","20212","AGPAT3,LPCAT1"
"GO:MF","S-adenosylmethionine-dependent methyltransferase activity","GO:0008757","1","0","198","32","2","20212","MEPCE,TRMO"
"GO:MF","acyltransferase activity","GO:0016746","1","0","733","32","3","20212","AGPAT3,LPCAT1,DTL"
"GO:MF","monoatomic ion transmembrane transporter activity","GO:0015075","1","0","727","32","1","20212","CHRND"
"GO:MF","ligand-gated monoatomic ion channel activity","GO:0015276","1","0","171","32","1","20212","CHRND"
"GO:MF","kinase activity","GO:0016301","1","0","787","32","4","20212","CDK11B,FLT1,CDK10,CILK1"
"GO:MF","palmitoyl-CoA oxidase activity","GO:0016401","1","0","4","32","1","20212","ACOX1"
"GO:MF","acetyltransferase activity","GO:0016407","1","0","95","32","1","20212","LPCAT1"
"GO:MF","O-acetyltransferase activity","GO:0016413","1","0","8","32","1","20212","LPCAT1"
"GO:MF","pyrophosphatase activity","GO:0016462","1","0","794","32","1","20212","HSP90AB1"
"GO:MF","oxidoreductase activity","GO:0016491","1","0","742","32","1","20212","ACOX1"
"GO:MF","oxidoreductase activity, acting on the CH-CH group of donors","GO:0016627","1","0","66","32","1","20212","ACOX1"
"GO:MF","oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor","GO:0016634","1","0","11","32","1","20212","ACOX1"
"GO:MF","transferase activity","GO:0016740","1","0","2350","32","9","20212","AGPAT3,CDK11B,LPCAT1,FLT1,CDK10,MEPCE,DTL,TRMO,CILK1"
"GO:MF","channel activity","GO:0015267","1","0","507","32","1","20212","CHRND"
"GO:MF","nucleoside phosphate binding","GO:1901265","1","0","2188","32","6","20212","ACOX1,CDK11B,FLT1,CDK10,HSP90AB1,CILK1"
"GO:MF","ceramide 1-phosphate binding","GO:1902387","1","0","6","32","1","20212","GLTP"
"GO:MF","ceramide 1-phosphate transfer activity","GO:1902388","1","0","6","32","1","20212","GLTP"
"GO:MF","transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential","GO:1904315","1","0","55","32","1","20212","CHRND"
"GO:MF","histone methyltransferase binding","GO:1990226","1","0","15","32","1","20212","HSP90AB1"
"GO:MF","preribosome binding","GO:1990275","1","0","8","32","1","20212","ZNF593"
"GO:MF","sequence-specific double-stranded DNA binding","GO:1990837","1","0","1541","32","4","20212","SOX12,BAHD1,EBF4,SOX15"
"GO:MF","heterocyclic compound binding","GO:1901363","1","0","2325","32","6","20212","ACOX1,CDK11B,FLT1,CDK10,HSP90AB1,CILK1"
"GO:BP","phosphatidic acid biosynthetic process","GO:0006654","0.03134141974396712","1.503881334191457","32","33","3","21031","ACP6,AGPAT3,LPCAT1"
"GO:BP","phosphatidic acid metabolic process","GO:0046473","0.04492388839894507","1.3475226603108514","36","33","3","21031","ACP6,AGPAT3,LPCAT1"
"GO:BP","regulation of nitrogen compound metabolic process","GO:0051171","0.20621467901336668","0.6856804234967181","5440","33","19","21031","TSPYL5,UBQLN1,CACTIN,RBM4,CDK11B,SERPINB1,LPCAT1,FLT1,ZCCHC17,SOX12,TMEM9,BAHD1,MEPCE,DTL,EBF4,SOX15,ZNF593,HSP90AB1,MTDH"
"GO:BP","regulation of primary metabolic process","GO:0080090","0.30640450240121475","0.5137048573369649","5591","33","19","21031","TSPYL5,UBQLN1,CACTIN,RBM4,CDK11B,SERPINB1,LPCAT1,FLT1,ZCCHC17,SOX12,TMEM9,BAHD1,MEPCE,DTL,EBF4,SOX15,ZNF593,HSP90AB1,MTDH"
"GO:BP","regulation of protein catabolic process","GO:0042176","0.4513916902191869","0.3454464402187602","365","33","5","21031","UBQLN1,LPCAT1,TMEM9,DTL,HSP90AB1"
"GO:BP","positive regulation of nitrogen compound metabolic process","GO:0051173","0.6369979598559553","0.19586195859827554","3001","33","13","21031","TSPYL5,UBQLN1,RBM4,LPCAT1,FLT1,SOX12,MEPCE,DTL,EBF4,SOX15,ZNF593,HSP90AB1,MTDH"
"GO:BP","negative regulation of nitrogen compound metabolic process","GO:0051172","0.6498300680832634","0.18720019742235733","2202","33","11","21031","CACTIN,RBM4,SERPINB1,LPCAT1,ZCCHC17,SOX12,BAHD1,MEPCE,SOX15,HSP90AB1,MTDH"
"GO:BP","positive regulation of mitotic cell cycle phase transition","GO:1901992","0.6751923942357649","0.17057245850331684","89","33","3","21031","CDK10,MEPCE,DTL"
"GO:BP","membrane lipid metabolic process","GO:0006643","1","0","208","33","1","21031","GLTP"
"GO:BP","phospholipid metabolic process","GO:0006644","1","0","381","33","3","21031","ACP6,AGPAT3,LPCAT1"
"GO:BP","glycerophospholipid metabolic process","GO:0006650","1","0","300","33","3","21031","ACP6,AGPAT3,LPCAT1"
"GO:BP","phosphatidylcholine biosynthetic process","GO:0006656","1","0","29","33","1","21031","LPCAT1"
"GO:BP","glycolipid metabolic process","GO:0006664","1","0","105","33","1","21031","GLTP"
"GO:BP","sphingolipid metabolic process","GO:0006665","1","0","162","33","1","21031","GLTP"
"GO:BP","glycosphingolipid metabolic process","GO:0006687","1","0","62","33","1","21031","GLTP"
"GO:BP","icosanoid metabolic process","GO:0006690","1","0","120","33","1","21031","ACOX1"
"GO:BP","prostanoid metabolic process","GO:0006692","1","0","49","33","1","21031","ACOX1"
"GO:BP","prostaglandin metabolic process","GO:0006693","1","0","48","33","1","21031","ACOX1"
"GO:BP","cellular aromatic compound metabolic process","GO:0006725","1","0","8280","33","16","21031","CACTIN,RBM4,CDK11B,ZCCHC17,SOX12,BAHD1,MEPCE,DTL,STON1-GTF2A1L,EBF4,SOX15,ZNF593,ADSL,HSP90AB1,TRMO,MTDH"
"GO:BP","nucleoside phosphate metabolic process","GO:0006753","1","0","609","33","1","21031","ADSL"
"GO:BP","phosphorus metabolic process","GO:0006793","1","0","2596","33","10","21031","CACTIN,ACP6,AGPAT3,CDK11B,LPCAT1,FLT1,CDK10,ADSL,HSP90AB1,CILK1"
"GO:BP","phosphate-containing compound metabolic process","GO:0006796","1","0","2571","33","10","21031","CACTIN,ACP6,AGPAT3,CDK11B,LPCAT1,FLT1,CDK10,ADSL,HSP90AB1,CILK1"
"GO:BP","nitric oxide biosynthetic process","GO:0006809","1","0","71","33","1","21031","HSP90AB1"
"GO:BP","transport","GO:0006810","1","0","4350","33","8","21031","UBQLN1,RBM4,CHRND,COPB1,TMEM9,GLTP,STON1-GTF2A1L,CILK1"
"GO:BP","monoatomic ion transport","GO:0006811","1","0","1256","33","2","21031","UBQLN1,CHRND"
"GO:BP","monoatomic cation transport","GO:0006812","1","0","1033","33","2","21031","UBQLN1,CHRND"
"GO:BP","calcium ion transport","GO:0006816","1","0","436","33","1","21031","UBQLN1"
"GO:BP","lipid transport","GO:0006869","1","0","435","33","1","21031","GLTP"
"GO:BP","fatty acid beta-oxidation","GO:0006635","1","0","76","33","1","21031","ACOX1"
"GO:BP","fatty acid metabolic process","GO:0006631","1","0","397","33","1","21031","ACOX1"
"GO:BP","lipid metabolic process","GO:0006629","1","0","1388","33","5","21031","ACP6,AGPAT3,ACOX1,LPCAT1,GLTP"
