Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0032787,monocarboxylic acid metabolic process,19_GO:0008152 metabolic process,-3.1,9.3,5.5,30286,520,25,4,16,7.3,4199|5730|5947|23600,ME1|PTGDS|RBP1|AMACR,-0.29,MyList
GO Biological Processes,19,GO:0009117,nucleotide metabolic process,19_GO:0008152 metabolic process,-3.1,9.2,5.5,30286,524,25,4,16,7.3,517|521|4199|23171,ATP5MC2|ATP5ME|ME1|GPD1L,-0.29,MyList
GO Biological Processes,19,GO:0006753,nucleoside phosphate metabolic process,19_GO:0008152 metabolic process,-3.1,9.1,5.4,30286,532,25,4,16,7.3,517|521|4199|23171,ATP5MC2|ATP5ME|ME1|GPD1L,-0.28,MyList
GO Biological Processes,19,GO:0051259,protein complex oligomerization,19_GO:0009987 cellular process,-2.9,14,6.1,30286,254,25,3,12,6.5,4199|8626|27232,ME1|TP63|GNMT,-0.18,MyList
GO Biological Processes,19,GO:0009165,nucleotide biosynthetic process,19_GO:0008152 metabolic process,-2.9,14,6,30286,264,25,3,12,6.5,517|521|4199,ATP5MC2|ATP5ME|ME1,-0.14,MyList
GO Biological Processes,19,GO:1901293,nucleoside phosphate biosynthetic process,19_GO:0008152 metabolic process,-2.9,14,6,30286,266,25,3,12,6.5,517|521|4199,ATP5MC2|ATP5ME|ME1,-0.14,MyList
GO Biological Processes,19,GO:0046394,carboxylic acid biosynthetic process,19_GO:0008152 metabolic process,-2.8,13,5.8,30286,275,25,3,12,6.5,5730|5947|23600,PTGDS|RBP1|AMACR,-0.13,MyList
GO Biological Processes,19,GO:0016053,organic acid biosynthetic process,19_GO:0008152 metabolic process,-2.8,13,5.8,30286,278,25,3,12,6.5,5730|5947|23600,PTGDS|RBP1|AMACR,-0.13,MyList
Oncogenic Signatures,4,M2882,KRAS.600 UP.V1 UP,,-2.8,13,5.8,30286,278,25,3,12,6.5,3249|6690|7052,HPN|SPINK1|TGM2,-0.13,MyList
Oncogenic Signatures,4,M2886,KRAS.600.LUNG.BREAST UP.V1 UP,,-2.8,13,5.8,30286,279,25,3,12,6.5,3249|4753|6690,HPN|NELL2|SPINK1,-0.13,MyList
GO Biological Processes,19,GO:0007548,sex differentiation,19_GO:0022414 reproductive process,-2.8,13,5.8,30286,281,25,3,12,6.5,7026|8626|25976,NR2F2|TP63|TIPARP,-0.13,MyList
GO Biological Processes,19,GO:0098662,inorganic cation transmembrane transport,19_GO:0051179 localization,-2.8,7.7,4.9,30286,630,25,4,16,7.3,517|521|2823|3249,ATP5MC2|ATP5ME|GPM6A|HPN,-0.13,MyList
GO Biological Processes,19,GO:0030855,epithelial cell differentiation,19_GO:0032502 developmental process,-2.8,7.7,4.9,30286,631,25,4,16,7.3,4852|7026|8626|10551,NPY|NR2F2|TP63|AGR2,-0.13,MyList
GO Biological Processes,19,GO:0016042,lipid catabolic process,19_GO:0008152 metabolic process,-2.8,12,5.7,30286,291,25,3,12,6.5,7941|22933|23600,PLA2G7|SIRT2|AMACR,-0.12,MyList
Reactome Gene Sets,6,R-HSA-1852241,Organelle biogenesis and maintenance,,-2.7,12,5.6,30286,296,25,3,12,6.5,517|521|7280,ATP5MC2|ATP5ME|TUBB2A,-0.12,MyList
GO Biological Processes,19,GO:0098655,monoatomic cation transmembrane transport,19_GO:0051179 localization,-2.7,7.5,4.8,30286,646,25,4,16,7.3,517|521|2823|3249,ATP5MC2|ATP5ME|GPM6A|HPN,-0.12,MyList
GO Biological Processes,19,GO:0048608,reproductive structure development,19_GO:0022414 reproductive process,-2.7,12,5.6,30286,297,25,3,12,6.5,7026|8626|25976,NR2F2|TP63|TIPARP,-0.12,MyList
GO Biological Processes,19,GO:0061458,reproductive system development,19_GO:0032502 developmental process,-2.7,12,5.5,30286,301,25,3,12,6.5,7026|8626|25976,NR2F2|TP63|TIPARP,-0.12,MyList
KEGG Pathway,24,hsa05016,Huntington disease,,-2.7,12,5.5,30286,306,25,3,12,6.5,517|7052|7280,ATP5MC2|TGM2|TUBB2A,-0.1,MyList
GO Biological Processes,19,GO:0062012,regulation of small molecule metabolic process,19_GO:0008152 metabolic process,-2.6,11,5.2,30286,331,25,3,12,6.5,4199|22933|27232,ME1|SIRT2|GNMT,-0.017,MyList
GO Biological Processes,19,GO:0045862,positive regulation of proteolysis,19_GO:0048518 positive regulation of biological process,-2.6,11,5.2,30286,336,25,3,12,6.5,3249|22933|23151,HPN|SIRT2|GRAMD4,-0.007,MyList
GO Biological Processes,19,GO:0098660,inorganic ion transmembrane transport,19_GO:0051179 localization,-2.6,6.7,4.4,30286,726,25,4,16,7.3,517|521|2823|3249,ATP5MC2|ATP5ME|GPM6A|HPN,0,MyList
GO Biological Processes,19,GO:0007420,brain development,19_GO:0032502 developmental process,-2.6,6.6,4.4,30286,729,25,4,16,7.3,4852|7026|7280|22933,NPY|NR2F2|TUBB2A|SIRT2,0,MyList
Reactome Gene Sets,6,R-HSA-556833,Metabolism of lipids,,-2.5,6.4,4.3,30286,757,25,4,16,7.3,4199|5730|23171|23600,ME1|PTGDS|GPD1L|AMACR,0,MyList
GO Biological Processes,19,GO:0006812,monoatomic cation transport,19_GO:0051179 localization,-2.4,6.2,4.2,30286,780,25,4,16,7.3,517|521|2823|3249,ATP5MC2|ATP5ME|GPM6A|HPN,0,MyList
GO Biological Processes,19,GO:0009725,response to hormone,19_GO:0050896 response to stimulus,-2.4,6.2,4.2,30286,785,25,4,16,7.3,3249|4199|5730|6690,HPN|ME1|PTGDS|SPINK1,0,MyList
GO Biological Processes,19,GO:0008285,negative regulation of cell population proliferation,19_GO:0048519 negative regulation of biological process,-2.4,6.1,4.2,30286,791,25,4,16,7.3,3249|5730|7026|22933,HPN|PTGDS|NR2F2|SIRT2,0,MyList
GO Biological Processes,19,GO:0030900,forebrain development,19_GO:0032502 developmental process,-2.4,8.9,4.6,30286,407,25,3,12,6.5,4852|7026|7280,NPY|NR2F2|TUBB2A,0,MyList
GO Biological Processes,19,GO:0006091,generation of precursor metabolites and energy,19_GO:0008152 metabolic process,-2.3,8.9,4.6,30286,410,25,3,12,6.5,521|4199|27232,ATP5ME|ME1|GNMT,0,MyList
GO Biological Processes,19,GO:0005975,carbohydrate metabolic process,19_GO:0008152 metabolic process,-2.3,8.4,4.4,30286,435,25,3,12,6.5,4199|23171|27232,ME1|GPD1L|GNMT,0,MyList
GO Biological Processes,19,GO:0044283,small molecule biosynthetic process,19_GO:0008152 metabolic process,-2.2,7.8,4.3,30286,464,25,3,12,6.5,5730|5947|23600,PTGDS|RBP1|AMACR,0,MyList
GO Biological Processes,19,GO:0031667,response to nutrient levels,19_GO:0050896 response to stimulus,-2.2,7.6,4.2,30286,479,25,3,12,6.5,4852|6690|22933,NPY|SPINK1|SIRT2,0,MyList
GO Biological Processes,19,GO:0001501,skeletal system development,19_GO:0032502 developmental process,-2.1,7.3,4.1,30286,501,25,3,12,6.5,7052|8626|25976,TGM2|TP63|TIPARP,0,MyList
GO Biological Processes,19,GO:0009991,response to extracellular stimulus,19_GO:0050896 response to stimulus,-2.1,7.2,4,30286,508,25,3,12,6.5,4852|6690|22933,NPY|SPINK1|SIRT2,0,MyList
GO Biological Processes,19,GO:0046903,secretion,19_GO:0051179 localization,-2,6.9,3.9,30286,529,25,3,12,6.5,5730|7052|10551,PTGDS|TGM2|AGR2,0,MyList
GO Biological Processes,19,GO:0090407,organophosphate biosynthetic process,19_GO:0008152 metabolic process,-2,6.7,3.8,30286,544,25,3,12,6.5,517|521|4199,ATP5MC2|ATP5ME|ME1,0,MyList
GO Biological Processes,19,GO:0043065,positive regulation of apoptotic process,19_GO:0048518 positive regulation of biological process,-2,6.6,3.8,30286,552,25,3,12,6.5,7052|8626|22933,TGM2|TP63|SIRT2,0,MyList
GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-2,6.5,3.8,30286,561,25,3,12,6.5,4852|7941|22933,NPY|PLA2G7|SIRT2,0,MyList
GO Biological Processes,19,GO:0043068,positive regulation of programmed cell death,19_GO:0048518 positive regulation of biological process,-1.9,6.3,3.7,30286,574,25,3,12,6.5,7052|8626|22933,TGM2|TP63|SIRT2,0,MyList
GO Biological Processes,19,GO:0008610,lipid biosynthetic process,19_GO:0008152 metabolic process,-1.9,6.1,3.6,30286,593,25,3,12,6.5,5730|5947|23600,PTGDS|RBP1|AMACR,0,MyList
GO Biological Processes,19,GO:0030162,regulation of proteolysis,19_GO:0008152 metabolic process,-1.9,6.1,3.6,30286,600,25,3,12,6.5,3249|22933|23151,HPN|SIRT2|GRAMD4,0,MyList
GO Biological Processes,19,GO:0006338,chromatin remodeling,19_GO:0009987 cellular process,-1.8,5.6,3.4,30286,653,25,3,12,6.5,7052|8626|22933,TGM2|TP63|SIRT2,0,MyList
GO Biological Processes,19,GO:0031175,neuron projection development,19_GO:0032502 developmental process,-1.7,5.3,3.3,30286,691,25,3,12,6.5,2823|4753|4852,GPM6A|NELL2|NPY,0,MyList
GO Biological Processes,19,GO:0045596,negative regulation of cell differentiation,19_GO:0032502 developmental process,-1.7,4.9,3.1,30286,735,25,3,12,6.5,3249|8626|22933,HPN|TP63|SIRT2,0,MyList
GO Biological Processes,19,GO:0006325,chromatin organization,19_GO:0009987 cellular process,-1.6,4.6,2.9,30286,797,25,3,12,6.5,7052|8626|22933,TGM2|TP63|SIRT2,0,MyList
