Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0040008,regulation of growth,19_GO:0040007 growth,-4.1,11,6.7,30293,616,23,5,22,8.6,1410|4490|4494|4495|5270,CRYAB|MT1B|MT1F|MT1G|SERPINE2,-1.1,MyList
WikiPathways,27,WP411,mRNA processing,,-3.9,31,9.4,30293,126,23,3,13,7,4841|6626|6638,NONO|SNRPA|SNRPN,-1,MyList
GO Biological Processes,19,GO:0010038,response to metal ion,19_GO:0050896 response to stimulus,-3.8,15,7.2,30293,360,23,4,17,7.9,4490|4494|4495|5111,MT1B|MT1F|MT1G|PCNA,-0.95,MyList
GO Biological Processes,19,GO:0006979,response to oxidative stress,19_GO:0050896 response to stimulus,-3.8,15,7.1,30293,363,23,4,17,7.9,1410|3040|5111|5831,CRYAB|HBA2|PCNA|PYCR1,-0.95,MyList
Reactome Gene Sets,6,R-HSA-8953854,Metabolism of RNA,,-3.7,9.1,6.1,30293,726,23,5,22,8.6,1207|2091|6626|6638|10248,CLNS1A|FBL|SNRPA|SNRPN|POP7,-0.87,MyList
GO Biological Processes,19,GO:0008380,RNA splicing,19_GO:0008152 metabolic process,-3.6,13,6.6,30293,411,23,4,17,7.9,1207|4841|6626|6638,CLNS1A|NONO|SNRPA|SNRPN,-0.77,MyList
Oncogenic Signatures,4,M2660,CSR LATE UP.V1 UP,,-3.6,24,8.1,30293,166,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-0.75,MyList
GO Biological Processes,19,GO:0000302,response to reactive oxygen species,19_GO:0050896 response to stimulus,-3.5,22,7.8,30293,179,23,3,13,7,1410|3040|5111,CRYAB|HBA2|PCNA,-0.67,MyList
GO Biological Processes,19,GO:0071248,cellular response to metal ion,19_GO:0050896 response to stimulus,-3.3,20,7.3,30293,200,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-0.55,MyList
Hallmark Gene Sets,23,M5909,HALLMARK MYOGENESIS,,-3.3,20,7.3,30293,200,23,3,13,7,1410|1675|4638,CRYAB|CFD|MYLK,-0.55,MyList
GO Biological Processes,19,GO:0006397,mRNA processing,19_GO:0008152 metabolic process,-3.3,11,6,30293,491,23,4,17,7.9,1207|4841|6626|6638,CLNS1A|NONO|SNRPA|SNRPN,-0.55,MyList
GO Biological Processes,19,GO:0071241,cellular response to inorganic substance,19_GO:0050896 response to stimulus,-3.2,17,6.8,30293,229,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,-0.41,MyList
GO Biological Processes,19,GO:0062197,cellular response to chemical stress,19_GO:0050896 response to stimulus,-2.9,14,6.2,30293,274,23,3,13,7,4638|5111|5831,MYLK|PCNA|PYCR1,-0.21,MyList
GO Biological Processes,19,GO:0000398,"mRNA splicing, via spliceosome",19_GO:0008152 metabolic process,-2.9,14,6.1,30293,277,23,3,13,7,1207|6626|6638,CLNS1A|SNRPA|SNRPN,-0.21,MyList
GO Biological Processes,19,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",19_GO:0008152 metabolic process,-2.9,14,6.1,30293,277,23,3,13,7,1207|6626|6638,CLNS1A|SNRPA|SNRPN,-0.21,MyList
GO Biological Processes,19,GO:0000375,"RNA splicing, via transesterification reactions",19_GO:0008152 metabolic process,-2.9,14,6.1,30293,281,23,3,13,7,1207|6626|6638,CLNS1A|SNRPA|SNRPN,-0.2,MyList
GO Biological Processes,19,GO:0016071,mRNA metabolic process,19_GO:0008152 metabolic process,-2.9,8.1,5.1,30293,648,23,4,17,7.9,1207|4841|6626|6638,CLNS1A|NONO|SNRPA|SNRPN,-0.17,MyList
GO Biological Processes,19,GO:0019725,cellular homeostasis,19_GO:0042592 homeostatic process,-2.8,7.7,4.9,30293,680,23,4,17,7.9,1207|4490|4494|4495,CLNS1A|MT1B|MT1F|MT1G,-0.11,MyList
GO Biological Processes,19,GO:0071214,cellular response to abiotic stimulus,19_GO:0050896 response to stimulus,-2.8,12,5.6,30293,318,23,3,13,7,1410|4638|5111,CRYAB|MYLK|PCNA,-0.09,MyList
GO Biological Processes,19,GO:0104004,cellular response to environmental stimulus,19_GO:0050896 response to stimulus,-2.8,12,5.6,30293,318,23,3,13,7,1410|4638|5111,CRYAB|MYLK|PCNA,-0.09,MyList
GO Biological Processes,19,GO:0030003,intracellular monoatomic cation homeostasis,19_GO:0042592 homeostatic process,-2.4,9.3,4.8,30293,423,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,0,MyList
GO Biological Processes,19,GO:0098771,inorganic ion homeostasis,19_GO:0042592 homeostatic process,-2.4,9.2,4.7,30293,430,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,0,MyList
GO Biological Processes,19,GO:0006873,intracellular monoatomic ion homeostasis,19_GO:0042592 homeostatic process,-2.4,9.1,4.7,30293,432,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,0,MyList
GO Biological Processes,19,GO:0022613,ribonucleoprotein complex biogenesis,19_GO:0009987 cellular process,-2.2,8,4.3,30293,492,23,3,13,7,1207|2091|10248,CLNS1A|FBL|POP7,0,MyList
GO Biological Processes,19,GO:0055080,monoatomic cation homeostasis,19_GO:0042592 homeostatic process,-2.2,8,4.3,30293,497,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,0,MyList
GO Biological Processes,19,GO:0050801,monoatomic ion homeostasis,19_GO:0042592 homeostatic process,-2.2,7.8,4.3,30293,507,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,0,MyList
GO Biological Processes,19,GO:0055082,intracellular chemical homeostasis,19_GO:0042592 homeostatic process,-2,6.9,3.9,30293,572,23,3,13,7,4490|4494|4495,MT1B|MT1F|MT1G,0,MyList
GO Biological Processes,19,GO:1902532,negative regulation of intracellular signal transduction,19_GO:0048519 negative regulation of biological process,-2,6.7,3.9,30293,586,23,3,13,7,4841|5270|5831,NONO|SERPINE2|PYCR1,0,MyList
