_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-5.492053257975274,GO:0098754,M1,1,0,GO Biological Processes,19,detoxification,19_GO:0098754 detoxification,-5.492053257975274,38.73785166240409,12.158338792391767,30293,136,23,4,17.391304347826086,7.903419644751181,3040|4490|4494|4495,HBA2|MT1B|MT1F|MT1G,-2.4292280396427954,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-5.109353223356064,GO:0010043,M1,1,0,GO Biological Processes,19,response to zinc ion,19_GO:0050896 response to stimulus,-5.109353223356064,77.47570332480818,15.066937781987983,30293,51,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,-2.0713515887486174,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-5.0586701960400235,WP3286,M1,1,0,WikiPathways,27,Copper homeostasis,,-5.0586701960400235,74.55209187858901,14.77283176000016,30293,53,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,-2.0441496572821,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-4.895593638079082,hsa04978,M1,1,0,KEGG Pathway,24,Mineral absorption,,-4.895593638079082,65.85434782608696,13.86103886366898,30293,60,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,-1.9033494940323104,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-4.548155222553596,GO:0009636,M1,1,0,GO Biological Processes,19,response to toxic substance,19_GO:0050896 response to stimulus,-4.548155222553596,22.323507737656595,9.064910394847969,30293,236,23,4,17.391304347826086,7.903419644751181,3040|4490|4494|4495,HBA2|MT1B|MT1F|MT1G,-1.577100377576763,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-4.070758728909597,GO:0040008,M1,1,0,GO Biological Processes,19,regulation of growth,19_GO:0040007 growth,-4.070758728909597,10.690640880858272,6.69814490982805,30293,616,23,5,21.73913043478261,8.60061487037983,1410|4490|4494|4495|5270,CRYAB|MT1B|MT1F|MT1G|SERPINE2,-1.1392124252164375,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-3.8378382671618505,GO:0010038,M1,1,0,GO Biological Processes,19,response to metal ion,19_GO:0050896 response to stimulus,-3.8378382671618505,14.63429951690821,7.17349234926099,30293,360,23,4,17.391304347826086,7.903419644751181,4490|4494|4495|5111,MT1B|MT1F|MT1G|PCNA,-0.9457161446515584,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-3.578374389364525,M2660,M1,1,0,Oncogenic Signatures,4,CSR LATE UP.V1 UP,,-3.578374389364525,23.802776322682032,8.120551203079543,30293,166,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,-0.7474982475527282,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-3.341566663449592,GO:0071248,M1,1,0,GO Biological Processes,19,cellular response to metal ion,19_GO:0050896 response to stimulus,-3.341566663449592,19.756304347826088,7.335862931090241,30293,200,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,-0.5534425020587452,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-3.170547624720388,GO:0071241,M1,1,0,GO Biological Processes,19,cellular response to inorganic substance,19_GO:0050896 response to stimulus,-3.170547624720388,17.254414277577368,6.805928242558672,30293,229,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,-0.40875240205189034,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-2.7995490799377585,GO:0019725,M1,1,0,GO Biological Processes,19,cellular homeostasis,19_GO:0042592 homeostatic process,-2.7995490799377585,7.747570332480818,4.905489548045533,30293,680,23,4,17.391304347826086,7.903419644751181,1207|4490|4494|4495,CLNS1A|MT1B|MT1F|MT1G,-0.10833493155496826,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-2.4100383981338576,GO:0030003,M1,1,0,GO Biological Processes,19,intracellular monoatomic cation homeostasis,19_GO:0042592 homeostatic process,-2.4100383981338576,9.34104224483503,4.762056839067626,30293,423,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,0.0,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-2.3901045225856232,GO:0098771,M1,1,0,GO Biological Processes,19,inorganic ion homeostasis,19_GO:0042592 homeostatic process,-2.3901045225856232,9.188978766430738,4.714318685654661,30293,430,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,0.0,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-2.3844733275315924,GO:0006873,M1,1,0,GO Biological Processes,19,intracellular monoatomic ion homeostasis,19_GO:0042592 homeostatic process,-2.3844733275315924,9.146437198067632,4.700879242922248,30293,432,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,0.0,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-2.215389719505186,GO:0055080,M1,1,0,GO Biological Processes,19,monoatomic cation homeostasis,19_GO:0042592 homeostatic process,-2.215389719505186,7.950223077596011,4.306452261782343,30293,497,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,0.0,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-2.1915254378690494,GO:0050801,M1,1,0,GO Biological Processes,19,monoatomic ion homeostasis,19_GO:0042592 homeostatic process,-2.1915254378690494,7.793413943915616,4.2521409002353785,30293,507,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,0.0,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-2.04798795107032,GO:0055082,M1,1,0,GO Biological Processes,19,intracellular chemical homeostasis,19_GO:0042592 homeostatic process,-2.04798795107032,6.907798723016114,3.9320015263962316,30293,572,23,3,13.043478260869565,7.02237263554129,4490|4494|4495,MT1B|MT1F|MT1G,0.0,0,1,0,0,-7.201851020400373,359.20553359683794,
1,-6.438333856804108,M5926,M1,1,0,Hallmark Gene Sets,23,HALLMARK MYC TARGETS V1,,-6.438333856804108,32.927173913043475,12.487181230363916,30293,200,23,5,21.73913043478261,8.60061487037983,1207|2091|5111|6626|7284,CLNS1A|FBL|PCNA|SNRPA|TUFM,-2.9232109674769986,0,2,1,1,-6.438333856804108,32.927173913043475,
1,-3.9315118654120678,WP411,M1,1,0,WikiPathways,27,mRNA processing,,-3.9315118654120678,31.3592132505176,9.413072535162943,30293,126,23,3,13.043478260869565,7.02237263554129,4841|6626|6638,NONO|SNRPA|SNRPN,-1.0184489674129211,0,2,0,0,-6.438333856804108,32.927173913043475,
1,-3.736783216620023,R-HSA-8953854,M1,1,0,Reactome Gene Sets,6,Metabolism of RNA,,-3.736783216620023,9.070846808000958,6.067439651248193,30293,726,23,5,21.73913043478261,8.60061487037983,1207|2091|6626|6638|10248,CLNS1A|FBL|SNRPA|SNRPN|POP7,-0.8748728410682578,0,2,0,0,-6.438333856804108,32.927173913043475,
1,-3.617920067176419,GO:0008380,M1,1,0,GO Biological Processes,19,RNA splicing,19_GO:0008152 metabolic process,-3.617920067176419,12.818364540357557,6.649594213376322,30293,411,23,4,17.391304347826086,7.903419644751181,1207|4841|6626|6638,CLNS1A|NONO|SNRPA|SNRPN,-0.7718039588078854,0,2,0,0,-6.438333856804108,32.927173913043475,
1,-3.325407494088697,GO:0006397,M1,1,0,GO Biological Processes,19,mRNA processing,19_GO:0008152 metabolic process,-3.325407494088697,10.729832639688302,5.9916314625585665,30293,491,23,4,17.391304347826086,7.903419644751181,1207|4841|6626|6638,CLNS1A|NONO|SNRPA|SNRPN,-0.5506472942558317,0,2,0,0,-6.438333856804108,32.927173913043475,
1,-2.931928896514107,GO:0000377,M1,1,0,GO Biological Processes,19,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",19_GO:0008152 metabolic process,-2.931928896514107,14.264479673520642,6.11329532323706,30293,277,23,3,13.043478260869565,7.02237263554129,1207|6626|6638,CLNS1A|SNRPA|SNRPN,-0.20685648087034939,0,2,0,0,-6.438333856804108,32.927173913043475,
1,-2.931928896514107,GO:0000398,M1,1,0,GO Biological Processes,19,"mRNA splicing, via spliceosome",19_GO:0008152 metabolic process,-2.931928896514107,14.264479673520642,6.11329532323706,30293,277,23,3,13.043478260869565,7.02237263554129,1207|6626|6638,CLNS1A|SNRPA|SNRPN,-0.20685648087034939,0,2,0,0,-6.438333856804108,32.927173913043475,
1,-2.914040585824013,GO:0000375,M1,1,0,GO Biological Processes,19,"RNA splicing, via transesterification reactions",19_GO:0008152 metabolic process,-2.914040585824013,14.061426582082625,6.063424668192717,30293,281,23,3,13.043478260869565,7.02237263554129,1207|6626|6638,CLNS1A|SNRPA|SNRPN,-0.20055004273007032,0,2,0,0,-6.438333856804108,32.927173913043475,
1,-2.8764742294185153,GO:0016071,M1,1,0,GO Biological Processes,19,mRNA metabolic process,19_GO:0008152 metabolic process,-2.8764742294185153,8.13016639828234,5.057467753688042,30293,648,23,4,17.391304347826086,7.903419644751181,1207|4841|6626|6638,CLNS1A|NONO|SNRPA|SNRPN,-0.1742646967342618,0,2,0,0,-6.438333856804108,32.927173913043475,
1,-2.227519073647169,GO:0022613,M1,1,0,GO Biological Processes,19,ribonucleoprotein complex biogenesis,19_GO:0009987 cellular process,-2.227519073647169,8.03101802757158,4.334180818004813,30293,492,23,3,13.043478260869565,7.02237263554129,1207|2091|10248,CLNS1A|FBL|POP7,0.0,0,2,0,0,-6.438333856804108,32.927173913043475,
1,-4.216883634749168,GO:0042542,M1,1,0,GO Biological Processes,19,response to hydrogen peroxide,19_GO:0050896 response to stimulus,-4.216883634749168,39.121394748170474,10.57804009619583,30293,101,23,3,13.043478260869565,7.02237263554129,1410|3040|5111,CRYAB|HBA2|PCNA,-1.2660321758606217,0,3,1,1,-4.216883634749168,39.121394748170474,
1,-3.824016936391493,GO:0006979,M1,1,0,GO Biological Processes,19,response to oxidative stress,19_GO:0050896 response to stimulus,-3.824016936391493,14.513354892801532,7.139779807276916,30293,363,23,4,17.391304347826086,7.903419644751181,1410|3040|5111|5831,CRYAB|HBA2|PCNA|PYCR1,-0.9457161446515584,0,3,0,0,-4.216883634749168,39.121394748170474,
1,-3.482357156021103,GO:0000302,M1,1,0,GO Biological Processes,19,response to reactive oxygen species,19_GO:0050896 response to stimulus,-3.482357156021103,22.074083070196746,7.794937936812868,30293,179,23,3,13.043478260869565,7.02237263554129,1410|3040|5111,CRYAB|HBA2|PCNA,-0.6662042710300128,0,3,0,0,-4.216883634749168,39.121394748170474,
1,-3.341566663449592,M5909,M1,1,0,Hallmark Gene Sets,23,HALLMARK MYOGENESIS,,-3.341566663449592,19.756304347826088,7.335862931090241,30293,200,23,3,13.043478260869565,7.02237263554129,1410|1675|4638,CRYAB|CFD|MYLK,-0.5534425020587452,0,3,0,0,-4.216883634749168,39.121394748170474,
1,-2.9455242843135525,GO:0062197,M1,1,0,GO Biological Processes,19,cellular response to chemical stress,19_GO:0050896 response to stimulus,-2.9455242843135525,14.420660107902254,6.151382462556176,30293,274,23,3,13.043478260869565,7.02237263554129,4638|5111|5831,MYLK|PCNA|PYCR1,-0.20685648087034939,0,3,0,0,-4.216883634749168,39.121394748170474,
1,-2.760277242755613,GO:0071214,M1,1,0,GO Biological Processes,19,cellular response to abiotic stimulus,19_GO:0050896 response to stimulus,-2.760277242755613,12.425348646431502,5.645795031890927,30293,318,23,3,13.043478260869565,7.02237263554129,1410|4638|5111,CRYAB|MYLK|PCNA,-0.09025239344276063,0,3,0,0,-4.216883634749168,39.121394748170474,
1,-2.760277242755613,GO:0104004,M1,1,0,GO Biological Processes,19,cellular response to environmental stimulus,19_GO:0050896 response to stimulus,-2.760277242755613,12.425348646431502,5.645795031890927,30293,318,23,3,13.043478260869565,7.02237263554129,1410|4638|5111,CRYAB|MYLK|PCNA,-0.09025239344276063,0,3,0,0,-4.216883634749168,39.121394748170474,
1,-2.0194254532509124,GO:1902532,M1,1,0,GO Biological Processes,19,negative regulation of intracellular signal transduction,19_GO:0048519 negative regulation of biological process,-2.0194254532509124,6.7427659890191425,3.8695655784834786,30293,586,23,3,13.043478260869565,7.02237263554129,4841|5270|5831,NONO|SERPINE2|PYCR1,0.0,0,4,1,1,-2.0194254532509124,6.7427659890191425,
